"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 27 14:04:36 UTC 2022","Fri May 27 14:04:37 UTC 2022","152","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","date","date",""
"passed","Fri May 27 14:04:21 UTC 2022","Fri May 27 14:04:22 UTC 2022","352","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","type","type",""
"passed","Fri May 27 14:04:41 UTC 2022","Fri May 27 14:04:41 UTC 2022","71","","Coupons API tests List coupons","","Coupons API tests List coupons","can list all coupons by default","can list all coupons by default",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","87","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'cancelled'","can update status of an order to 'cancelled'",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","85","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'failed'","can update status of an order to 'failed'",""
"passed","Fri May 27 14:04:25 UTC 2022","Fri May 27 14:04:25 UTC 2022","79","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (desc)","rating (desc)",""
"passed","Fri May 27 14:04:48 UTC 2022","Fri May 27 14:04:48 UTC 2022","255","","Orders API test","","Orders API test","can add complex order","can add complex order",""
"passed","Fri May 27 14:04:34 UTC 2022","Fri May 27 14:04:35 UTC 2022","399","","Orders API tests List all orders","","Orders API tests List all orders","inclusion / exclusion","inclusion / exclusion",""
"passed","Fri May 27 14:04:21 UTC 2022","Fri May 27 14:04:21 UTC 2022","139","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","slug","slug",""
"passed","Fri May 27 14:04:24 UTC 2022","Fri May 27 14:04:25 UTC 2022","266","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","price","price",""
"passed","Fri May 27 14:04:34 UTC 2022","Fri May 27 14:04:34 UTC 2022","166","","Orders API tests","","Orders API tests","can permanently delete an order","can permanently delete an order",""
"skipped","Fri May 27 14:04:25 UTC 2022","Fri May 27 14:04:25 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (asc)","rating (asc)",""
"skipped","Fri May 27 14:04:25 UTC 2022","Fri May 27 14:04:25 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (asc)","popularity (asc)",""
"passed","Fri May 27 14:04:40 UTC 2022","Fri May 27 14:04:40 UTC 2022","115","","Coupons API tests","","Coupons API tests","can retrieve a coupon","can retrieve a coupon",""
"passed","Fri May 27 14:04:25 UTC 2022","Fri May 27 14:04:25 UTC 2022","184","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","include","include",""
"passed","Fri May 27 14:04:44 UTC 2022","Fri May 27 14:04:44 UTC 2022","122","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create a pending order by default","can create a pending order by default",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by billing post code","can search by billing post code",""
"passed","Fri May 27 14:04:44 UTC 2022","Fri May 27 14:04:45 UTC 2022","276","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'completed'","can create an order with status 'completed'",""
"passed","Fri May 27 14:04:49 UTC 2022","Fri May 27 14:04:50 UTC 2022","72","","Shipping zones API tests","","Shipping zones API tests","can list all shipping zones","can list all shipping zones",""
"passed","Fri May 27 14:04:51 UTC 2022","Fri May 27 14:04:51 UTC 2022","230","","Refunds API tests","","Refunds API tests","can delete a refund","can delete a refund",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:47 UTC 2022","205","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can pay for an order","can pay for an order",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","166","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","before / after","before / after",""
"passed","Fri May 27 14:04:33 UTC 2022","Fri May 27 14:04:33 UTC 2022","122","","Orders API tests","","Orders API tests","can create an order","can create an order",""
"passed","Fri May 27 14:04:40 UTC 2022","Fri May 27 14:04:41 UTC 2022","224","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch delete coupons","can batch delete coupons",""
"passed","Fri May 27 14:04:49 UTC 2022","Fri May 27 14:04:49 UTC 2022","212","","Shipping zones API tests","","Shipping zones API tests","cannot delete the default shipping zone ""Locations not covered by your other zones""","cannot delete the default shipping zone ""Locations not covered by your other zones""",""
"passed","Fri May 27 14:04:50 UTC 2022","Fri May 27 14:04:51 UTC 2022","69","","Refunds API tests","","Refunds API tests","can list all refunds","can list all refunds",""
"passed","Fri May 27 14:04:43 UTC 2022","Fri May 27 14:04:43 UTC 2022","165","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","88","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","attributes","attributes",""
"passed","Fri May 27 14:04:40 UTC 2022","Fri May 27 14:04:40 UTC 2022","102","","Coupons API tests","","Coupons API tests","can update a coupon","can update a coupon",""
"passed","Fri May 27 14:04:35 UTC 2022","Fri May 27 14:04:35 UTC 2022","225","","Orders API tests List all orders","","Orders API tests List all orders","customer","customer",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","69","","Order Search API tests","","Order Search API tests","can return an empty result set when no matches were found","can return an empty result set when no matches were found",""
"passed","Fri May 27 14:04:49 UTC 2022","Fri May 27 14:04:49 UTC 2022","66","","Shipping zones API tests","","Shipping zones API tests","can retrieve a shipping zone","can retrieve a shipping zone",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","87","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","72","","Order Search API tests","","Order Search API tests","can search by shipping last name","can search by shipping last name",""
"passed","Fri May 27 14:04:35 UTC 2022","Fri May 27 14:04:35 UTC 2022","87","","Orders API tests List all orders","","Orders API tests List all orders","product","product",""
"passed","Fri May 27 14:04:22 UTC 2022","Fri May 27 14:04:22 UTC 2022","216","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","on sale","on sale",""
"passed","Fri May 27 14:04:35 UTC 2022","Fri May 27 14:04:35 UTC 2022","225","","Orders API tests List all orders","","Orders API tests List all orders","status","status",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:24 UTC 2022","111","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","default","default",""
"passed","Fri May 27 14:04:51 UTC 2022","Fri May 27 14:04:51 UTC 2022","91","","Order Search API tests","","Order Search API tests","can search by orderId","can search by orderId",""
"passed","Fri May 27 14:04:34 UTC 2022","Fri May 27 14:04:34 UTC 2022","475","","Orders API tests List all orders","","Orders API tests List all orders","pagination","pagination",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","70","","Order Search API tests","","Order Search API tests","can search by shipping post code","can search by shipping post code",""
"passed","Fri May 27 14:04:36 UTC 2022","Fri May 27 14:04:36 UTC 2022","486","","Orders API tests List all orders","","Orders API tests List all orders","search","search",""
"passed","Fri May 27 14:04:21 UTC 2022","Fri May 27 14:04:21 UTC 2022","145","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","search","search",""
"passed","Fri May 27 14:04:44 UTC 2022","Fri May 27 14:04:44 UTC 2022","225","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'pending'","can create an order with status 'pending'",""
"passed","Fri May 27 14:04:49 UTC 2022","Fri May 27 14:04:49 UTC 2022","69","","Shipping zones API tests","","Shipping zones API tests","can create a shipping zone","can create a shipping zone",""
"passed","Fri May 27 14:04:25 UTC 2022","Fri May 27 14:04:25 UTC 2022","80","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","popularity (desc)","popularity (desc)",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","84","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'on-hold'","can update status of an order to 'on-hold'",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","78","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tags","tags",""
"passed","Fri May 27 14:04:37 UTC 2022","Fri May 27 14:04:37 UTC 2022","202","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","include","include",""
"passed","Fri May 27 14:04:40 UTC 2022","Fri May 27 14:04:40 UTC 2022","75","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch update coupons","can batch update coupons",""
"passed","Fri May 27 14:04:36 UTC 2022","Fri May 27 14:04:36 UTC 2022","152","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","default","default",""
"passed","Fri May 27 14:04:20 UTC 2022","Fri May 27 14:04:21 UTC 2022","428","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","pagination","pagination",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by shipping city","can search by shipping city",""
"passed","Fri May 27 14:04:22 UTC 2022","Fri May 27 14:04:22 UTC 2022","193","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","categories","categories",""
"passed","Fri May 27 14:04:45 UTC 2022","Fri May 27 14:04:45 UTC 2022","250","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'failed'","can create an order with status 'failed'",""
"passed","Fri May 27 14:04:41 UTC 2022","Fri May 27 14:04:41 UTC 2022","146","","Coupons API tests Add coupon to order","","Coupons API tests Add coupon to order","can add coupon to an order","can add coupon to an order",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by billing state","can search by billing state",""
"passed","Fri May 27 14:04:33 UTC 2022","Fri May 27 14:04:34 UTC 2022","72","","Orders API tests","","Orders API tests","can retrieve an order","can retrieve an order",""
"passed","Fri May 27 14:04:51 UTC 2022","Fri May 27 14:04:52 UTC 2022","72","","Order Search API tests","","Order Search API tests","can search by billing company name","can search by billing company name",""
"passed","Fri May 27 14:04:44 UTC 2022","Fri May 27 14:04:44 UTC 2022","272","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
"passed","Fri May 27 14:04:42 UTC 2022","Fri May 27 14:04:42 UTC 2022","94","","Products API tests: CRUD","","Products API tests: CRUD","can update a single product","can update a single product",""
"passed","Fri May 27 14:04:42 UTC 2022","Fri May 27 14:04:43 UTC 2022","178","","Products API tests: CRUD","","Products API tests: CRUD","can delete a product","can delete a product",""
"passed","Fri May 27 14:04:35 UTC 2022","Fri May 27 14:04:36 UTC 2022","250","","Orders API tests List all orders","","Orders API tests List all orders","dp (precision)","dp (precision)",""
"passed","Fri May 27 14:04:20 UTC 2022","Fri May 27 14:04:20 UTC 2022","143","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","defaults","defaults",""
"passed","Fri May 27 14:04:34 UTC 2022","Fri May 27 14:04:34 UTC 2022","108","","Orders API tests","","Orders API tests","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Fri May 27 14:04:43 UTC 2022","Fri May 27 14:04:43 UTC 2022","122","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch update products","can batch update products",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","111","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add a product to an order","can add a product to an order",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by shipping state","can search by shipping state",""
"passed","Fri May 27 14:04:44 UTC 2022","Fri May 27 14:04:44 UTC 2022","264","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'on-hold'","can create an order with status 'on-hold'",""
"passed","Fri May 27 14:04:42 UTC 2022","Fri May 27 14:04:42 UTC 2022","223","","Products API tests: CRUD","","Products API tests: CRUD","can add a variable product","can add a variable product",""
"passed","Fri May 27 14:04:41 UTC 2022","Fri May 27 14:04:41 UTC 2022","72","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
"passed","Fri May 27 14:04:24 UTC 2022","Fri May 27 14:04:24 UTC 2022","98","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","date","date",""
"passed","Fri May 27 14:04:24 UTC 2022","Fri May 27 14:04:24 UTC 2022","272","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","slug","slug",""
"passed","Fri May 27 14:04:42 UTC 2022","Fri May 27 14:04:42 UTC 2022","139","","Products API tests: CRUD","","Products API tests: CRUD","can add a simple product","can add a simple product",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","75","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by billing city name","can search by billing city name",""
"passed","Fri May 27 14:04:35 UTC 2022","Fri May 27 14:04:35 UTC 2022","224","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","73","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","stock status","stock status",""
"passed","Fri May 27 14:04:53 UTC 2022","Fri May 27 14:04:53 UTC 2022","159","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Fri May 27 14:04:50 UTC 2022","Fri May 27 14:04:50 UTC 2022","73","","Refunds API tests","","Refunds API tests","can retrieve a refund","can retrieve a refund",""
"passed","Fri May 27 14:04:51 UTC 2022","Fri May 27 14:04:51 UTC 2022","71","","Order Search API tests","","Order Search API tests","can search by billing first name","can search by billing first name",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","72","","Order Search API tests","","Order Search API tests","can search by shipping address 2","can search by shipping address 2",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","70","","Order Search API tests","","Order Search API tests","can search by billing phone","can search by billing phone",""
"passed","Fri May 27 14:04:43 UTC 2022","Fri May 27 14:04:43 UTC 2022","288","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch delete products","can batch delete products",""
"passed","Fri May 27 14:04:21 UTC 2022","Fri May 27 14:04:21 UTC 2022","142","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","sku","sku",""
"passed","Fri May 27 14:04:41 UTC 2022","Fri May 27 14:04:41 UTC 2022","72","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
"passed","Fri May 27 14:04:41 UTC 2022","Fri May 27 14:04:41 UTC 2022","86","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit results to matching string","can limit results to matching string",""
"passed","Fri May 27 14:04:45 UTC 2022","Fri May 27 14:04:45 UTC 2022","213","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'cancelled'","can create an order with status 'cancelled'",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","72","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tax class","tax class",""
"passed","Fri May 27 14:04:47 UTC 2022","Fri May 27 14:04:47 UTC 2022","182","","Orders API tests: CRUD Delete an order","","Orders API tests: CRUD Delete an order","can permanently delete an order","can permanently delete an order",""
"passed","Fri May 27 14:04:50 UTC 2022","Fri May 27 14:04:50 UTC 2022","172","","Refunds API tests","","Refunds API tests","can create a refund","can create a refund",""
"passed","Fri May 27 14:04:42 UTC 2022","Fri May 27 14:04:42 UTC 2022","218","","Products API tests: CRUD","","Products API tests: CRUD","can add a virtual product","can add a virtual product",""
"passed","Fri May 27 14:04:45 UTC 2022","Fri May 27 14:04:45 UTC 2022","73","","Orders API tests: CRUD Retrieve an order","","Orders API tests: CRUD Retrieve an order","can retrieve an order","can retrieve an order",""
"passed","Fri May 27 14:04:24 UTC 2022","Fri May 27 14:04:24 UTC 2022","245","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","title","title",""
"passed","Fri May 27 14:04:39 UTC 2022","Fri May 27 14:04:40 UTC 2022","1001","","Coupons API tests","","Coupons API tests","can create a coupon","can create a coupon",""
"passed","Fri May 27 14:04:45 UTC 2022","Fri May 27 14:04:45 UTC 2022","236","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'refunded'","can create an order with status 'refunded'",""
"passed","Fri May 27 14:04:53 UTC 2022","Fri May 27 14:04:53 UTC 2022","142","","Shipping methods API tests","","Shipping methods API tests","can add a 'Local pickup' shipping method","can add a 'Local pickup' shipping method",""
"passed","Fri May 27 14:04:22 UTC 2022","Fri May 27 14:04:23 UTC 2022","253","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","price","price",""
"passed","Fri May 27 14:04:22 UTC 2022","Fri May 27 14:04:22 UTC 2022","193","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","106","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Fri May 27 14:04:50 UTC 2022","Fri May 27 14:04:50 UTC 2022","134","","Shipping zones API tests","","Shipping zones API tests","can delete a shipping zone","can delete a shipping zone",""
"passed","Fri May 27 14:04:50 UTC 2022","Fri May 27 14:04:50 UTC 2022","70","","Shipping zones API tests","","Shipping zones API tests","can update a shipping zone","can update a shipping zone",""
"passed","Fri May 27 14:04:40 UTC 2022","Fri May 27 14:04:40 UTC 2022","93","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch create coupons","can batch create coupons",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","83","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'refunded'","can update status of an order to 'refunded'",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","72","","Order Search API tests","","Order Search API tests","can search by shipping first name","can search by shipping first name",""
"passed","Fri May 27 14:04:49 UTC 2022","Fri May 27 14:04:49 UTC 2022","75","","Shipping zones API tests","","Shipping zones API tests","cannot update the default shipping zone","cannot update the default shipping zone",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","113","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'completed'","can update status of an order to 'completed'",""
"passed","Fri May 27 14:04:52 UTC 2022","Fri May 27 14:04:52 UTC 2022","81","","Order Search API tests","","Order Search API tests","can search by billing address 2","can search by billing address 2",""
"passed","Fri May 27 14:04:53 UTC 2022","Fri May 27 14:04:53 UTC 2022","145","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Fri May 27 14:04:21 UTC 2022","Fri May 27 14:04:21 UTC 2022","345","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","inclusion / exclusion","inclusion / exclusion",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","181","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","parent","parent",""
"passed","Fri May 27 14:04:40 UTC 2022","Fri May 27 14:04:40 UTC 2022","151","","Coupons API tests","","Coupons API tests","can permanently delete a coupon","can permanently delete a coupon",""
"passed","Fri May 27 14:04:42 UTC 2022","Fri May 27 14:04:42 UTC 2022","76","","Products API tests: CRUD","","Products API tests: CRUD","can view a single product","can view a single product",""
"passed","Fri May 27 14:04:37 UTC 2022","Fri May 27 14:04:37 UTC 2022","340","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","id","id",""
"passed","Fri May 27 14:04:24 UTC 2022","Fri May 27 14:04:24 UTC 2022","202","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","id","id",""
"passed","Fri May 27 14:04:46 UTC 2022","Fri May 27 14:04:46 UTC 2022","129","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'processing'","can update status of an order to 'processing'",""
"passed","Fri May 27 14:04:23 UTC 2022","Fri May 27 14:04:23 UTC 2022","140","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","status","status",""
