"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 19 07:30:07 UTC 2022","Thu May 19 07:30:07 UTC 2022","177","","Products API tests: CRUD","","Products API tests: CRUD","can delete a product","can delete a product",""
"passed","Thu May 19 07:30:14 UTC 2022","Thu May 19 07:30:14 UTC 2022","73","","Shipping zones API tests","","Shipping zones API tests","can retrieve a shipping zone","can retrieve a shipping zone",""
"passed","Thu May 19 07:29:59 UTC 2022","Thu May 19 07:29:59 UTC 2022","244","","Orders API tests List all orders","","Orders API tests List all orders","customer","customer",""
"skipped","Thu May 19 07:29:49 UTC 2022","Thu May 19 07:29:49 UTC 2022","0","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","rating (asc)","rating (asc)",""
"passed","Thu May 19 07:30:00 UTC 2022","Thu May 19 07:30:00 UTC 2022","560","","Orders API tests List all orders","","Orders API tests List all orders","search","search",""
"passed","Thu May 19 07:30:14 UTC 2022","Thu May 19 07:30:14 UTC 2022","78","","Shipping zones API tests","","Shipping zones API tests","can list all shipping zones","can list all shipping zones",""
"passed","Thu May 19 07:29:45 UTC 2022","Thu May 19 07:29:46 UTC 2022","217","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","featured","featured",""
"passed","Thu May 19 07:29:44 UTC 2022","Thu May 19 07:29:45 UTC 2022","381","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","inclusion / exclusion","inclusion / exclusion",""
"passed","Thu May 19 07:30:16 UTC 2022","Thu May 19 07:30:16 UTC 2022","77","","Order Search API tests","","Order Search API tests","can search by billing address 2","can search by billing address 2",""
"passed","Thu May 19 07:30:07 UTC 2022","Thu May 19 07:30:07 UTC 2022","83","","Products API tests: CRUD","","Products API tests: CRUD","can view a single product","can view a single product",""
"passed","Thu May 19 07:29:47 UTC 2022","Thu May 19 07:29:47 UTC 2022","79","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","tax class","tax class",""
"passed","Thu May 19 07:29:47 UTC 2022","Thu May 19 07:29:47 UTC 2022","78","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","shipping class","shipping class",""
"passed","Thu May 19 07:30:04 UTC 2022","Thu May 19 07:30:05 UTC 2022","101","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch create coupons","can batch create coupons",""
"passed","Thu May 19 07:30:07 UTC 2022","Thu May 19 07:30:07 UTC 2022","167","","Products API tests: CRUD Batch update products","","Products API tests: CRUD Batch update products","can batch create products","can batch create products",""
"passed","Thu May 19 07:30:17 UTC 2022","Thu May 19 07:30:17 UTC 2022","77","","Order Search API tests","","Order Search API tests","can search by shipping state","can search by shipping state",""
"passed","Thu May 19 07:29:45 UTC 2022","Thu May 19 07:29:45 UTC 2022","153","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","sku","sku",""
"passed","Thu May 19 07:30:11 UTC 2022","Thu May 19 07:30:11 UTC 2022","86","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'failed'","can update status of an order to 'failed'",""
"passed","Thu May 19 07:29:57 UTC 2022","Thu May 19 07:29:57 UTC 2022","167","","Orders API tests","","Orders API tests","can permanently delete an order","can permanently delete an order",""
"passed","Thu May 19 07:30:18 UTC 2022","Thu May 19 07:30:18 UTC 2022","178","","Shipping methods API tests","","Shipping methods API tests","can add a 'Flat rate' shipping method","can add a 'Flat rate' shipping method",""
"passed","Thu May 19 07:30:05 UTC 2022","Thu May 19 07:30:05 UTC 2022","80","","Coupons API tests Batch update coupons","","Coupons API tests Batch update coupons","can batch update coupons","can batch update coupons",""
"passed","Thu May 19 07:30:11 UTC 2022","Thu May 19 07:30:11 UTC 2022","110","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Thu May 19 07:29:57 UTC 2022","Thu May 19 07:29:58 UTC 2022","523","","Orders API tests List all orders","","Orders API tests List all orders","pagination","pagination",""
"passed","Thu May 19 07:30:13 UTC 2022","Thu May 19 07:30:13 UTC 2022","276","","Orders API test","","Orders API test","can add complex order","can add complex order",""
"passed","Thu May 19 07:29:57 UTC 2022","Thu May 19 07:29:57 UTC 2022","102","","Orders API tests","","Orders API tests","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Thu May 19 07:30:05 UTC 2022","Thu May 19 07:30:05 UTC 2022","73","","Coupons API tests List coupons","","Coupons API tests List coupons","can paginate results","can paginate results",""
