"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 26 14:34:04 UTC 2022","Thu May 26 14:34:04 UTC 2022","106","","Orders API tests","","Orders API tests","can add shipping and billing contacts to an order","can add shipping and billing contacts to an order",""
"passed","Thu May 26 14:34:11 UTC 2022","Thu May 26 14:34:11 UTC 2022","76","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
"passed","Thu May 26 14:34:24 UTC 2022","Thu May 26 14:34:24 UTC 2022","227","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Thu May 26 14:34:03 UTC 2022","Thu May 26 14:34:04 UTC 2022","138","","Orders API tests","","Orders API tests","can create an order","can create an order",""
"passed","Thu May 26 14:34:17 UTC 2022","Thu May 26 14:34:17 UTC 2022","92","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'refunded'","can update status of an order to 'refunded'",""
"passed","Thu May 26 14:34:21 UTC 2022","Thu May 26 14:34:22 UTC 2022","77","","Refunds API tests","","Refunds API tests","can retrieve a refund","can retrieve a refund",""
"passed","Thu May 26 14:34:16 UTC 2022","Thu May 26 14:34:16 UTC 2022","85","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"passed","Thu May 26 14:33:50 UTC 2022","Thu May 26 14:33:50 UTC 2022","461","","Products API tests: List All Products List all products","","Products API tests: List All Products List all products","pagination","pagination",""
"passed","Thu May 26 14:34:21 UTC 2022","Thu May 26 14:34:21 UTC 2022","87","","Shipping zones API tests","","Shipping zones API tests","can update a shipping zone","can update a shipping zone",""
"passed","Thu May 26 14:34:06 UTC 2022","Thu May 26 14:34:06 UTC 2022","106","","Orders API tests List all orders","","Orders API tests List all orders","product","product",""
