"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 20 09:06:42 UTC 2022","Mon Jun 20 09:06:43 UTC 2022","303","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'failed'","can create an order with status 'failed'",""
"passed","Mon Jun 20 09:06:36 UTC 2022","Mon Jun 20 09:06:36 UTC 2022","117","","Coupons API tests","","Coupons API tests","can retrieve a coupon","can retrieve a coupon",""
"passed","Mon Jun 20 09:06:41 UTC 2022","Mon Jun 20 09:06:41 UTC 2022","267","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'pending'","can create an order with status 'pending'",""
"passed","Mon Jun 20 09:06:30 UTC 2022","Mon Jun 20 09:06:31 UTC 2022","285","","Orders API tests List all orders","","Orders API tests List all orders","customer","customer",""
"passed","Mon Jun 20 09:06:50 UTC 2022","Mon Jun 20 09:06:50 UTC 2022","110","","Order Search API tests","","Order Search API tests","can search by orderId","can search by orderId",""
"passed","Mon Jun 20 09:06:41 UTC 2022","Mon Jun 20 09:06:41 UTC 2022","340","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'processing'","can create an order with status 'processing'",""
"passed","Mon Jun 20 09:06:38 UTC 2022","Mon Jun 20 09:06:38 UTC 2022","173","","Coupons API tests Add coupon to order","","Coupons API tests Add coupon to order","can add coupon to an order","can add coupon to an order",""
"passed","Mon Jun 20 09:06:37 UTC 2022","Mon Jun 20 09:06:37 UTC 2022","93","","Coupons API tests List coupons","","Coupons API tests List coupons","can list all coupons by default","can list all coupons by default",""
"passed","Mon Jun 20 09:06:52 UTC 2022","Mon Jun 20 09:06:52 UTC 2022","193","","Shipping methods API tests","","Shipping methods API tests","can add a 'Free shipping' shipping method","can add a 'Free shipping' shipping method",""
"passed","Mon Jun 20 09:06:16 UTC 2022","Mon Jun 20 09:06:16 UTC 2022","134","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","default","default",""
"passed","Mon Jun 20 09:06:17 UTC 2022","Mon Jun 20 09:06:17 UTC 2022","304","","Products API tests: List All Products List all products orderby","","Products API tests: List All Products List all products orderby","slug","slug",""
"passed","Mon Jun 20 09:06:43 UTC 2022","Mon Jun 20 09:06:43 UTC 2022","99","","Orders API tests: CRUD Update an order","","Orders API tests: CRUD Update an order","can update status of an order to 'pending'","can update status of an order to 'pending'",""
"passed","Mon Jun 20 09:06:32 UTC 2022","Mon Jun 20 09:06:32 UTC 2022","187","","Orders API tests List all orders orderby","","Orders API tests List all orders orderby","default","default",""
"passed","Mon Jun 20 09:06:37 UTC 2022","Mon Jun 20 09:06:37 UTC 2022","90","","Coupons API tests List coupons","","Coupons API tests List coupons","can limit result set to matching code","can limit result set to matching code",""
"passed","Mon Jun 20 09:06:29 UTC 2022","Mon Jun 20 09:06:30 UTC 2022","567","","Orders API tests List all orders","","Orders API tests List all orders","inclusion / exclusion","inclusion / exclusion",""
"passed","Mon Jun 20 09:06:30 UTC 2022","Mon Jun 20 09:06:30 UTC 2022","273","","Orders API tests List all orders","","Orders API tests List all orders","parent","parent",""
"passed","Mon Jun 20 09:06:41 UTC 2022","Mon Jun 20 09:06:42 UTC 2022","330","","Orders API tests: CRUD Create an order","","Orders API tests: CRUD Create an order","can create an order with status 'on-hold'","can create an order with status 'on-hold'",""
"passed","Mon Jun 20 09:06:28 UTC 2022","Mon Jun 20 09:06:28 UTC 2022","156","","Orders API tests","","Orders API tests","can create an order","can create an order",""
